INFO 2014-05-07 15:06:59,344 fetch new site: http://it.ouc.edu.cn/Article.aspx?ArticleID=10356
INFO 2014-05-07 15:06:59,503 fetch new site: http://it.ouc.edu.cn/Article.aspx?ArticleID=10355
INFO 2014-05-07 15:06:59,628 fetch new site: http://it.ouc.edu.cn/Login.aspx
INFO 2014-05-07 15:07:00,196 fetch new site: http://it.ouc.edu.cn/yzxx/Login.aspx
INFO 2014-05-07 15:07:00,249 fetch new site: http://it.ouc.edu.cn/amd/index.asp
INFO 2014-05-07 15:07:00,870 fetch new site: http://it.ouc.edu.cn/amd/news.asp?id=225
INFO 2014-05-07 15:07:01,382 fetch new site: http://it.ouc.edu.cn/amd/news.asp?id=224
INFO 2014-05-07 15:07:01,421 fetch new site: http://it.ouc.edu.cn/amd/news.asp?id=218
INFO 2014-05-07 15:07:02,251 fetch new site: http://it.ouc.edu.cn/amd/news.asp?id=212
INFO 2014-05-07 15:07:02,903 fetch new site: http://it.ouc.edu.cn/amd/news.asp?id=188
INFO 2014-05-07 15:07:03,768 fetch new site: http://it.ouc.edu.cn/amd/list.asp
INFO 2014-05-07 15:07:03,776 fetch new site: http://it.ouc.edu.cn/amd/UserReg.asp
INFO 2014-05-07 15:07:04,002 fetch new site: http://it.ouc.edu.cn/amd/login.asp
INFO 2014-05-07 15:07:04,047 fetch new site: http://it.ouc.edu.cn/amd/bbs
INFO 2014-05-07 15:07:04,172 fetch new site: http://it.ouc.edu.cn/amd/news.asp?id=185
INFO 2014-05-07 15:07:04,282 fetch new site: http://it.ouc.edu.cn/AMD/
INFO 2014-05-07 15:07:04,311 fetch new site: http://it.ouc.edu.cn/amd/AdminLogin.asp
INFO 2014-05-07 15:07:04,344 fetch new site: http://it.ouc.edu.cn/phylab/Article_Class.asp?ClassID=2
INFO 2014-05-07 15:07:04,905 fetch new site: http://it.ouc.edu.cn/phylab/Article_Show.asp?ArticleID=596
INFO 2014-05-07 15:07:05,439 fetch new site: http://it.ouc.edu.cn/phylab/Article_Show.asp?ArticleID=502
INFO 2014-05-07 15:07:05,569 fetch new site: http://it.ouc.edu.cn/phylab/Article_Show.asp?ArticleID=590
INFO 2014-05-07 15:07:05,747 fetch new site: http://it.ouc.edu.cn/phylab/Article_Show.asp?ArticleID=501
INFO 2014-05-07 15:07:05,828 fetch new site: http://it.ouc.edu.cn/phylab/admin_login.asp
INFO 2014-05-07 15:07:06,174 fetch new site: http://it.ouc.edu.cn/stu/Default.aspx
INFO 2014-05-07 15:07:07,823 fetch new site: http://it.ouc.edu.cn/stu/Article.aspx?ArticleID=28&teacher=0
INFO 2014-05-07 15:07:08,525 fetch new site: http://it.ouc.edu.cn/stu/Article.aspx?ArticleID=29&teacher=0
INFO 2014-05-07 15:07:08,758 fetch new site: http://it.ouc.edu.cn/stu/teacher.aspx?teacher=12
INFO 2014-05-07 15:07:09,497 fetch new site: http://it.ouc.edu.cn/stu/teacher.aspx?teacher=5
INFO 2014-05-07 15:07:09,562 fetch new site: http://it.ouc.edu.cn/stu/teacher.aspx?teacher=6
INFO 2014-05-07 15:07:09,597 fetch new site: http://it.ouc.edu.cn/stu/teacher.aspx?teacher=7
INFO 2014-05-07 15:07:09,649 fetch new site: http://it.ouc.edu.cn/stu/teacher.aspx?teacher=8
INFO 2014-05-07 15:07:09,718 fetch new site: http://it.ouc.edu.cn/stu/teacher.aspx?teacher=10
INFO 2014-05-07 15:07:10,143 fetch new site: http://it.ouc.edu.cn/stu/teacher.aspx?teacher=9
INFO 2014-05-07 15:07:10,198 fetch new site: http://it.ouc.edu.cn/stu/articlelist.aspx?judgeid=0
INFO 2014-05-07 15:07:10,746 fetch new site: http://it.ouc.edu.cn/stu/Article.aspx?ArticleID=29&teacher=0&judgeid=0
INFO 2014-05-07 15:07:11,247 fetch new site: http://it.ouc.edu.cn/stu/teacher.aspx?teacher=0
INFO 2014-05-07 15:07:11,264 fetch new site: http://it.ouc.edu.cn/stu/Article.aspx?ArticleID=28&teacher=0&judgeid=0
INFO 2014-05-07 15:07:11,301 fetch new site: http://it.ouc.edu.cn/stu/picturelist.aspx?judgeid=0
INFO 2014-05-07 15:07:11,341 fetch new site: http://it.ouc.edu.cn/stu/picture.aspx?pictureId=46&teacher=0&judgeid=0
DEBUG 2014-05-07 15:07:11,378 visit http://it.ouc.edu.cn/stu/teacher.aspx?teacher=0 page error(500)
INFO 2014-05-07 15:07:11,378 fetch new site: http://it.ouc.edu.cn/stu/picture.aspx?pictureId=45&teacher=0&judgeid=0
INFO 2014-05-07 15:07:11,457 fetch new site: http://it.ouc.edu.cn/stu/messagelist.aspx
INFO 2014-05-07 15:07:11,668 fetch new site: http://it.ouc.edu.cn/dxx/Default.aspx
INFO 2014-05-07 15:07:12,035 fetch new site: http://it.ouc.edu.cn/dxx/ArticleList.aspx?ClassID=1
INFO 2014-05-07 15:07:12,037 fetch new site: http://it.ouc.edu.cn/dxx/ArticleList.aspx?ClassID=2
INFO 2014-05-07 15:07:12,285 fetch new site: http://it.ouc.edu.cn/dxx/ArticleList.aspx?ClassID=3
INFO 2014-05-07 15:07:12,324 fetch new site: http://it.ouc.edu.cn/dxx/ArticleList.aspx?ClassID=4
INFO 2014-05-07 15:07:12,422 fetch new site: http://it.ouc.edu.cn/dxx/ArticleList.aspx?ClassID=5
INFO 2014-05-07 15:07:12,796 fetch new site: http://it.ouc.edu.cn/dxx/videolist.aspx?ClassID=6
INFO 2014-05-07 15:07:14,106 fetch new site: http://it.ouc.edu.cn/dxx/ArticleList.aspx?ClassID=7
INFO 2014-05-07 15:07:14,150 fetch new site: http://it.ouc.edu.cn/dxx/ArticleList.aspx?ClassID=8
INFO 2014-05-07 15:07:15,633 fetch new site: http://it.ouc.edu.cn/dxx/Articlelist.aspx?ClassID=13
INFO 2014-05-07 15:07:15,720 fetch new site: http://it.ouc.edu.cn/itstudio/Default.aspx
INFO 2014-05-07 15:07:15,903 fetch new site: http://it.ouc.edu.cn/dxx/Picturelist.aspx?ClassID=17
INFO 2014-05-07 15:07:16,473 fetch new site: http://it.ouc.edu.cn/dxx/ArticleList.aspx?ClassID=10
INFO 2014-05-07 15:07:16,633 fetch new site: http://it.ouc.edu.cn/dxx/Article.aspx?ArticleID=203
INFO 2014-05-07 15:07:16,921 fetch new site: http://it.ouc.edu.cn/dxx/ArticleList.aspx?ClassID=33
INFO 2014-05-07 15:07:17,535 fetch new site: http://it.ouc.edu.cn/dxx/Article.aspx?ArticleID=200
INFO 2014-05-07 15:07:17,715 fetch new site: http://it.ouc.edu.cn/dxx/ArticleList.aspx?ClassID=26
INFO 2014-05-07 15:07:17,968 fetch new site: http://it.ouc.edu.cn/dxx/Article.aspx?ArticleID=199
INFO 2014-05-07 15:07:18,383 fetch new site: http://it.ouc.edu.cn/dxx/ArticleList.aspx?ClassID=23
INFO 2014-05-07 15:07:18,485 fetch new site: http://it.ouc.edu.cn/dxx/Article.aspx?ArticleID=198
INFO 2014-05-07 15:07:19,148 fetch new site: http://it.ouc.edu.cn/dxx/ArticleList.aspx?ClassID=11
INFO 2014-05-07 15:07:19,554 fetch new site: http://it.ouc.edu.cn/dxx/Article.aspx?ArticleID=197
INFO 2014-05-07 15:07:19,566 fetch new site: http://it.ouc.edu.cn/dxx/ArticleList.aspx?ClassID=13
INFO 2014-05-07 15:07:19,835 fetch new site: http://it.ouc.edu.cn/dxx/Article.aspx?ArticleID=196
INFO 2014-05-07 15:07:20,035 fetch new site: http://it.ouc.edu.cn/dxx/Articlelist.aspx?ClassID=33
INFO 2014-05-07 15:07:21,149 fetch new site: http://it.ouc.edu.cn/dxx/Articlelist.aspx?ClassID=11
INFO 2014-05-07 15:07:21,352 fetch new site: http://it.ouc.edu.cn/dxx/Articlelist.aspx?ClassID=31
INFO 2014-05-07 15:07:22,186 fetch new site: http://it.ouc.edu.cn/dxx/Article.aspx?ArticleID=194
INFO 2014-05-07 15:07:22,218 fetch new site: http://it.ouc.edu.cn/dxx/ArticleList.aspx?ClassID=12
INFO 2014-05-07 15:07:22,264 fetch new site: http://it.ouc.edu.cn/dxx/Article.aspx?ArticleID=151
INFO 2014-05-07 15:07:22,475 fetch new site: http://it.ouc.edu.cn/dxx/ArticleList.aspx?ClassID=32
INFO 2014-05-07 15:07:23,118 fetch new site: http://it.ouc.edu.cn/dxx/Article.aspx?ArticleID=176
INFO 2014-05-07 15:07:23,579 fetch new site: http://it.ouc.edu.cn/dxx/ArticleList.aspx?ClassID=16
INFO 2014-05-07 15:07:23,851 fetch new site: http://it.ouc.edu.cn/dxx/Article.aspx?ArticleID=17
INFO 2014-05-07 15:07:24,382 fetch new site: http://it.ouc.edu.cn/dxx/ArticleList.aspx?ClassID=18
INFO 2014-05-07 15:07:24,513 fetch new site: http://it.ouc.edu.cn/dxx/Article.aspx?ArticleID=159
INFO 2014-05-07 15:07:25,055 fetch new site: http://it.ouc.edu.cn/dxx/Article.aspx?ArticleID=76
INFO 2014-05-07 15:07:25,777 fetch new site: http://it.ouc.edu.cn/dxx/Picture.aspx?PictureID=16
INFO 2014-05-07 15:07:25,983 fetch new site: http://it.ouc.edu.cn/dxx/Picture.aspx?PictureID=14
INFO 2014-05-07 15:07:26,393 fetch new site: http://it.ouc.edu.cn/dxx/Picture.aspx?PictureID=12
INFO 2014-05-07 15:07:26,702 fetch new site: http://it.ouc.edu.cn/dxx/Picture.aspx?PictureID=15
INFO 2014-05-07 15:07:27,020 fetch new site: http://it.ouc.edu.cn/dxx/Picture.aspx?PictureID=13
INFO 2014-05-07 15:07:28,049 fetch new site: http://it.ouc.edu.cn/dxx/Picture.aspx?PictureID=11
INFO 2014-05-07 15:07:28,370 fetch new site: http://it.ouc.edu.cn/dxx/videolist.aspx
INFO 2014-05-07 15:07:28,607 fetch new site: http://it.ouc.edu.cn/dxx/Videolist.aspx?ClassID=36
INFO 2014-05-07 15:07:28,685 fetch new site: http://it.ouc.edu.cn/dxx/Video.aspx?VideoID=29
INFO 2014-05-07 15:07:28,717 fetch new site: http://it.ouc.edu.cn/dxx/Video.aspx?VideoID=28
INFO 2014-05-07 15:07:29,034 fetch new site: http://it.ouc.edu.cn/dxx/Video.aspx?VideoID=27
